Player,FG%,3P,eFG%,FT%,TRB,AST,STL,BLK,TOV,PS/G
Nigel Hayes\hayesni01,.333,0.0,.333,1.000,0.0,1.0,0.0,0.0,0.0,1.5
Nigel Hayes\hayesni01,1.000,1.0,1.500,,0.0,0.0,0.0,0.0,0.5,3.0
Nigel Hayes\hayesni01,.154,0.5,.192,.000,2.5,1.5,0.0,0.5,0.5,2.5
Gordon Hayward\haywago01,.500,0.0,.500,,1.0,0.0,0.0,0.0,0.0,2.0
Reggie Hearn\hearnre01,1.000,0.5,1.500,,0.0,0.0,0.0,0.0,0.0,1.5
Myke Henry\henrymy01,.385,1.0,.481,.600,1.7,1.1,1.4,0.3,0.9,5.4
John Henson\hensojo01,.574,0.0,.575,.593,6.8,1.5,0.6,1.5,1.2,8.8
Juan Hernangomez\hernaju01,.392,0.6,.486,.833,2.3,0.5,0.3,0.1,0.4,3.4
Willy Hernangomez\hernawi01,.548,0.1,.562,.630,3.4,0.7,0.4,0.3,0.7,4.8
Willy Hernangomez\hernawi01,.605,0.0,.611,.429,2.6,0.8,0.3,0.3,1.0,4.3
Willy Hernangomez\hernawi01,.477,0.2,.500,.736,4.5,0.5,0.4,0.4,0.4,5.5
Mario Hezonja\hezonma01,.447,1.2,.520,.813,3.6,1.3,1.1,0.4,1.1,9.4
Isaiah Hicks\hicksis01,.413,0.1,.424,.583,2.4,0.6,0.1,0.2,0.7,3.3
Buddy Hield\hieldbu01,.445,2.2,.540,.888,3.8,1.9,1.0,0.3,1.5,13.4
Nene Hilario\hilarne01,.579,0.0,.579,.641,3.5,0.9,0.5,0.3,0.7,6.7
George Hill\hillge01,.460,1.3,.543,.783,2.7,2.8,0.9,0.4,1.3,10.1
George Hill\hillge01,.469,1.3,.558,.778,2.7,2.8,0.9,0.3,1.4,10.3
George Hill\hillge01,.444,1.2,.517,.795,2.8,2.9,0.8,0.6,1.2,9.9
Solomon Hill\hillso01,.385,0.6,.462,.500,2.0,2.3,0.4,0.0,0.3,3.7
Darrun Hilliard\hillida01,.263,0.0,.263,.857,0.5,0.8,0.1,0.0,0.3,1.1
Jrue Holiday\holidjr01,.490,1.5,.538,.783,4.5,5.9,1.4,0.8,2.6,19.0
Justin Holiday\holidju01,.374,2.3,.479,.828,4.0,2.1,1.1,0.4,1.3,12.2
John Holland\hollajo02,.275,0.3,.363,.667,0.9,0.2,0.3,0.1,0.2,1.5
Rondae Hollis-Jefferson\holliro01,.476,0.2,.485,.781,6.8,2.4,0.9,0.7,1.7,14.4
Richaun Holmes\holmeri01,.526,0.1,.536,.660,4.4,1.3,0.3,0.6,0.5,6.0
Rodney Hood\hoodro01,.429,2.2,.514,.867,2.8,1.6,0.7,0.2,1.2,14.9
